Epoch: 350, Improvement: 28.957020%
Epoch: 100, Improvement: 25.630549%
Epoch: 150, Improvement: 22.741603%
Epoch: 1200, Improvement: 21.860121%
Epoch: 200, Improvement: 21.802213%
Epoch: 1000, Improvement: 21.255308%
Epoch: 2450, Improvement: 21.165230%
Epoch: 600, Improvement: 21.007592%
Epoch: 3400, Improvement: 20.682666%
Epoch: 1100, Improvement: 20.541114%
Epoch: 2150, Improvement: 20.290181%
Epoch: 3300, Improvement: 19.505212%
Epoch: 650, Improvement: 18.758847%
Epoch: 400, Improvement: 18.755630%
Epoch: 3050, Improvement: 18.504697%
Epoch: 3100, Improvement: 18.247330%
Epoch: 2950, Improvement: 18.067173%
Epoch: 3150, Improvement: 17.935272%
Epoch: 2050, Improvement: 17.806589%
Epoch: 2700, Improvement: 17.748681%
Epoch: 1400, Improvement: 17.169605%
Epoch: 700, Improvement: 16.606614%
Epoch: 450, Improvement: 16.477931%
Epoch: 3600, Improvement: 16.230215%
Epoch: 900, Improvement: 16.201261%
Epoch: 1650, Improvement: 16.175524%
Epoch: 3550, Improvement: 15.721915%
Epoch: 2750, Improvement: 15.654356%
Epoch: 1500, Improvement: 15.236134%
Epoch: 2400, Improvement: 15.155707%
Epoch: 300, Improvement: 14.608802%
Epoch: 800, Improvement: 14.090851%
Epoch: 2850, Improvement: 14.074765%
Epoch: 1700, Improvement: 13.785227%
Epoch: 1150, Improvement: 13.698366%
Epoch: 3450, Improvement: 13.617938%
Epoch: 1050, Improvement: 13.370223%
Epoch: 1300, Improvement: 12.823317%
Epoch: 1750, Improvement: 12.691417%
Epoch: 1800, Improvement: 12.675331%
Epoch: 550, Improvement: 12.549865%
Epoch: 1600, Improvement: 12.160597%
Epoch: 2500, Improvement: 11.658731%
Epoch: 2250, Improvement: 11.652297%
Epoch: 3000, Improvement: 10.950972%
Epoch: 750, Improvement: 9.393900%
Epoch: 2100, Improvement: 8.335478%
Epoch: 2800, Improvement: 8.303307%
Epoch: 3250, Improvement: 7.434693%
Epoch: 0, Improvement: 7.350056%
Epoch: 500, Improvement: 7.206280%
Epoch: 2650, Improvement: 7.042208%
Epoch: 950, Improvement: 6.511388%
Epoch: 1950, Improvement: 6.366619%
Epoch: 1250, Improvement: 5.890490%
Epoch: 50, Improvement: 5.858319%
Epoch: 1350, Improvement: 5.784326%
Epoch: 2350, Improvement: 5.153777%
Epoch: 850, Improvement: 4.960752%
Epoch: 1900, Improvement: 4.832068%
Epoch: 3500, Improvement: 4.278729%
Epoch: 1550, Improvement: 4.146828%
Epoch: 2600, Improvement: 3.320036%
Epoch: 250, Improvement: 3.030498%
Epoch: 3200, Improvement: 2.589757%
Epoch: 2550, Improvement: 2.213357%
Epoch: 3350, Improvement: 2.071805%
Epoch: 2200, Improvement: 1.875563%
Epoch: 2000, Improvement: 1.650367%
Epoch: 1850, Improvement: 1.306138%
