Episode: 0, Reward: -65.09057000000004, Non-Greedy:8.55%, Loss:0.0006208286625527156
Episode: 100, Reward: -66.58390000000007, Non-Greedy:23.38%, Loss:0.00493497465015389
Episode: 200, Reward: -66.05985000000004, Non-Greedy:18.00%, Loss:0.0067086043278686705
Episode: 300, Reward: -64.62435, Non-Greedy:13.52%, Loss:0.006802946206182241
Episode: 400, Reward: -63.97190000000007, Non-Greedy:4.12%, Loss:0.008087528164498509
Episode: 500, Reward: -64.41464000000005, Non-Greedy:10.51%, Loss:0.007942744406173007
Episode: 600, Reward: -64.39424000000004, Non-Greedy:10.22%, Loss:0.008627521096728742
Episode: 700, Reward: -64.43540000000003, Non-Greedy:5.08%, Loss:0.009431631410028786
Episode: 800, Reward: -65.11964000000006, Non-Greedy:22.66%, Loss:0.009326965728309005
Episode: 900, Reward: -64.12788000000006, Non-Greedy:3.19%, Loss:0.00857743137748912
Episode: 1000, Reward: -65.87815000000006, Non-Greedy:31.06%, Loss:0.008892976624891162
Episode: 1100, Reward: -64.41447000000005, Non-Greedy:2.15%, Loss:0.00843236885825172
Episode: 1200, Reward: -64.39507000000003, Non-Greedy:6.18%, Loss:0.008679001269862055
Episode: 1300, Reward: -64.38728000000005, Non-Greedy:18.71%, Loss:0.00898739616246894
Episode: 1400, Reward: -64.72415000000005, Non-Greedy:17.25%, Loss:0.009464571494609117
Episode: 1500, Reward: -64.64317000000005, Non-Greedy:2.21%, Loss:0.00963568008178845
Episode: 1600, Reward: -64.10310000000004, Non-Greedy:1.63%, Loss:0.009537027702201158
Episode: 1700, Reward: -64.14332000000005, Non-Greedy:10.32%, Loss:0.009599452566821128
Episode: 1800, Reward: -63.889110000000066, Non-Greedy:6.59%, Loss:0.009996142968069763
Episode: 1900, Reward: -64.13937000000006, Non-Greedy:4.50%, Loss:0.010241318756248802
Episode: 2000, Reward: -64.48858000000004, Non-Greedy:22.13%, Loss:0.009722421740181744
Episode: 2100, Reward: -63.570870000000085, Non-Greedy:2.24%, Loss:0.009759937250986695
Episode: 2200, Reward: -64.36994000000006, Non-Greedy:20.59%, Loss:0.010352617639116943
Episode: 2300, Reward: -65.67800000000005, Non-Greedy:34.79%, Loss:0.010348117066547275
Episode: 2400, Reward: -63.69686000000005, Non-Greedy:7.40%, Loss:0.009805541122332215
Episode: 2500, Reward: -63.616920000000064, Non-Greedy:4.58%, Loss:0.010127323418390006
Episode: 2600, Reward: -63.43200000000005, Non-Greedy:3.46%, Loss:0.010138965438585728
Episode: 2700, Reward: -64.29395000000004, Non-Greedy:4.31%, Loss:0.009065008577890695
Episode: 2800, Reward: -64.75863000000003, Non-Greedy:32.76%, Loss:0.009768238723278045
Episode: 2900, Reward: -63.37761000000007, Non-Greedy:4.47%, Loss:0.008185029665473848
Episode: 3000, Reward: -62.821380000000055, Non-Greedy:8.21%, Loss:0.008997735993470996
Episode: 3100, Reward: -65.4539200000001, Non-Greedy:30.00%, Loss:0.00921400576364249
Episode: 3200, Reward: -65.08194000000005, Non-Greedy:34.86%, Loss:0.009714050643611699
Episode: 3300, Reward: -63.40277000000009, Non-Greedy:1.84%, Loss:0.009905034622643144
Episode: 3400, Reward: -63.292130000000036, Non-Greedy:2.80%, Loss:0.00907984368596226
Episode: 3500, Reward: -63.32886000000007, Non-Greedy:1.50%, Loss:0.009878095904830844
Episode: 3600, Reward: -62.95530000000006, Non-Greedy:2.46%, Loss:0.00993781653419137
Episode: 3700, Reward: -64.01138000000006, Non-Greedy:16.76%, Loss:0.010059053957462311
Episode: 3800, Reward: -64.02850000000007, Non-Greedy:8.52%, Loss:0.010067156482953579
Episode: 3900, Reward: -65.53241000000007, Non-Greedy:38.36%, Loss:0.009723503951448947
Episode: 4000, Reward: -63.13832000000004, Non-Greedy:2.92%, Loss:0.008801536834333093
Episode: 4100, Reward: -63.40188000000008, Non-Greedy:2.87%, Loss:0.009146939742844551
Episode: 4200, Reward: -62.738400000000084, Non-Greedy:2.47%, Loss:0.008817601593676954
Episode: 4300, Reward: -64.61675000000005, Non-Greedy:31.26%, Loss:0.00973266096180305
Episode: 4400, Reward: -62.67819000000003, Non-Greedy:3.61%, Loss:0.009317041173111648
Episode: 4500, Reward: -63.301740000000066, Non-Greedy:14.08%, Loss:0.00932614491553977
Episode: 4600, Reward: -62.62305000000006, Non-Greedy:4.50%, Loss:0.009052232248242944
Episode: 4700, Reward: -63.152970000000025, Non-Greedy:3.66%, Loss:0.00945004815235734
Episode: 4800, Reward: -62.792550000000055, Non-Greedy:8.00%, Loss:0.009255700324196368
Episode: 4900, Reward: -63.097760000000065, Non-Greedy:13.39%, Loss:0.009404630492441356
Episode: 5000, Reward: -62.91391000000006, Non-Greedy:1.90%, Loss:0.009023561272770167
